country,year,scenario,hdd_DegreesC,cdd_DegreesC,population_Mio,gdp_per_capita_USD,gdp_growth_rate_Percent,ln_pop,ln_gdp_pc,panel_predictions,ln_total_floor,ln_thermal_index,total_floor_m2,thermal_index,ln_hdd,ln_cdd
Czechia,2025,VNI,3031.347296666667,130.09078,10.9095,48882.03249,2.120203273511634,2.477336400957832,10.79718563140556,28.590928250995727,19.81723454575903,5.083921815802756,404124898.6756419,160.40582018359615,8.017092283958124,4.875890060302627
Czechia,2026,VNI,2446.497245,101.0839725,10.915838,50009.43019,2.365800268591789,2.4778684395924575,10.819986866455537,27.448007526256113,19.82383235506745,5.07199292146557,406800053.0754269,158.49186558631948,7.802821248765626,4.625795734395716
Czechia,2027,VNI,2775.49259,67.15971,10.894076,50962.73,1.7030780851365668,2.4760404610403453,10.838869482229926,27.01256377415599,19.82681967837831,5.06283541620203,408017113.3309671,157.0379851069674,7.92894375185044,4.221853627817174
Czechia,2028,VNI,2952.448705,22.027635,10.870364,51932.4,1.680903194536465,2.474044873694785,10.8577174074469,26.443448399702593,19.82961448422247,5.053794139987477,409159036.9306983,155.61555999003895,7.990728819066423,3.136695016418709
Czechia,2029,VNI,2823.90974375,52.1933875,10.846174,52954.23,1.740705378606866,2.4720049462493465,10.877202118578696,25.743998546575423,19.83252850129071,5.044627377611959,410353072.22553855,154.18646247316158,7.946231693955113,3.973934093509539
Czechia,2030,VNI,2529.029385416666,172.51432,10.8203,54025.3,1.7792542650519438,2.4698183923665273,10.897226244019404,24.956228462027983,19.8354242667888,5.035440830445296,411543080.6581381,152.76736300822498,7.835986196443311,5.156260132004059
Czechia,2035,VNI,2694.6221170833333,37.2651925,10.683962,59629.35,1.6302216814703785,2.458217132209353,10.995919951628686,24.910530806057857,19.848788214329623,5.018174945651545,417079834.85567737,150.13522194447987,7.899384297921668,3.6445406709561428
Czechia,2040,VNI,2832.72033625,50.1782375,10.626197,63914.13,1.0907364116111262,2.4532609139145416,11.065311388551397,24.647095893699067,19.86167847126128,5.001240361230374,422490901.1941094,147.59735924494643,7.94934573374754,3.9353143928584786
Czechia,2045,VNI,2473.5317220833335,41.2847325,10.603857,67785.06,1.1722897378984465,2.4513375428464443,11.124111848069177,23.95822584688629,19.875090678265483,4.983877254881426,428195607.4656769,145.0395177904424,7.813806453902954,3.7444260870938018
Czechia,2050,VNI,2437.3389116666667,168.67846749999998,10.561597,71924.81,1.0171353256328342,2.4476890024914937,11.183390450087304,23.55286787925711,19.88674030748255,4.967814155074923,433213096.7363729,142.7124107538559,7.799072312548365,5.133905278508899
Czechia,2055,VNI,2199.645205,190.44353208333337,10.483569,76329.34,1.1099285515453028,2.440917231077346,11.24282577912558,23.02077497986882,19.895009263602763,4.954257166921089,436810168.3499409,140.77725041541223,7.696505871349701,5.254592893510012
Czechia,2060,VNI,2746.5664925,29.62054,10.357747,82451.06,1.41800557293148,2.429900066158724,11.319972312514926,23.1122859350119,19.90329287009553,4.940648390965219,440443559.9215248,138.8609047138393,7.918470887076836,3.4216710256063654
Denmark,2025,VNI,2664.2728583333333,22.615305,5.992734,75514.80721,3.0530085897926496,1.9448716099602272,11.232097280342767,19.74720170250297,19.708548689890037,5.062929559213556,362504949.925059,157.05286397918078,7.888061717225036,3.1618950187844725
Denmark,2026,VNI,2250.984606666667,4.64074,6.025601,76331.68964,1.6361316696349435,1.9495607631619032,11.242856561168956,18.876167869615156,19.716857425836636,5.049549082642288,365529455.35037255,154.95212710832928,7.7195671538306545,1.7300152625770149
Denmark,2027,VNI,2526.8693575,3.782282499999999,6.054421,77349.77,1.818430255146053,1.9536545124826077,11.256105810702795,18.452057507922735,19.725125267760777,5.036163543552725,368564122.9031387,152.87853286408296,7.8351320757272696,1.5649179429917761
Denmark,2028,VNI,2634.7252341666667,0.6396799999999994,6.08085,78324.68,1.7024174948814697,1.957393956996599,11.268630797557362,17.923616519195615,19.73278620119689,5.0232072872010916,371398511.29120326,150.89770292471218,7.876913654289105,0.4945011008461226
Denmark,2029,VNI,2377.0972691666666,6.330495000000001,6.105245,79288.43,1.6365688504199172,1.960833243713168,11.28086010744,17.276627714654065,19.740017117624983,5.010542220229499,374093795.8399316,148.9860395696721,7.774055980184866,1.9920430443142363
Denmark,2030,VNI,2251.97181625,6.1199025,6.127181,80268.1,1.5993145193819114,1.9639157845772144,11.293140018903802,16.684647710647077,19.746844174625313,4.998146414538641,376656493.4019328,147.1383174285466,7.720005430922132,1.9628940315098986
Denmark,2035,VNI,2342.1353125,1.1371349999999998,6.20323,85827.26,1.629636527364786,1.9745295365372408,11.360103601874826,16.279874557894672,19.776850395192692,4.96814593407832,388129805.779615,142.760099424884,7.759245188654138,0.7594661470136713
